user_id,simple_status,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,result,lsat,softs,urm,non_trad,gpa,years_out,is_military,is_character_and_fitness_issues,school_name,cycle,decision,color,marker,splits
45730,Rejected,2018-11-09,2018-11-12,2018-11-15,,,,2019-02-04,Rejected,171.0,,False,False,3.75,,,,Harvard University,19,R,red,triangle-se,red
45730,Waitlisted,2018-11-19,2018-11-19,2018-11-21,,,,2019-04-03,Waitlisted,171.0,,False,False,3.75,,,,University of California—Berkeley,19,WL,orange,triangle-se,orange
45748,Rejected,2019-01-02,,,,,,2019-03-01,Rejected,162.0,,False,False,3.94,3.0,,,Northwestern University,19,R,red,triangle-se,black
45748,Waitlisted,2019-01-02,,2019-01-30,,,,2019-03-25,Waitlisted,162.0,,False,False,3.94,3.0,,,University of Pennsylvania,19,WL,orange,triangle-se,orange
45748,Rejected,2019-01-02,,,,,,2019-03-04,Rejected,162.0,,False,False,3.94,3.0,,,University of Michigan,19,R,red,triangle-se,black
45748,Rejected,2019-01-02,,2019-02-03,,,,2019-03-28,Rejected,162.0,,False,False,3.94,3.0,,,University of California—Berkeley,19,R,red,triangle-se,black
45763,Accepted,2018-12-07,2018-12-10,,,,,2019-01-23,Accepted,175.0,,False,False,4.2,0.0,,,New York University,19,A,green,triangle-se,green
45763,Accepted,2018-12-07,2018-12-10,,,,,2019-01-25,Accepted,175.0,,False,False,4.2,0.0,,,University of Pennsylvania,19,A,green,triangle-se,green
45763,Accepted,2018-12-07,2018-12-10,,,,,2019-01-22,Accepted,175.0,,False,False,4.2,0.0,,,University of California—Berkeley,19,A,green,triangle-se,green
45766,Rejected,2019-01-13,2019-01-14,2019-01-17,,,,2019-02-19,Rejected,152.0,,False,True,3.06,5.0,,,Harvard University,19,R,red,triangle-se,red
45766,Rejected,2019-01-13,2019-01-14,2019-01-18,,,,2019-02-22,Rejected,152.0,,False,True,3.06,5.0,,,University of California—Berkeley,19,R,red,triangle-se,red
45784,Accepted,2018-12-04,2018-11-06,2018-12-10,,,,2019-03-22,Accepted,164.0,,True,False,3.9,,,,New York University,19,A,green,triangle-se,green
45784,Accepted,2018-12-04,2018-12-07,2018-12-14,,,,2019-01-10,Accepted,164.0,,True,False,3.9,,,,University of Virginia,19,A,green,triangle-se,green
45784,Accepted,2018-10-31,2018-11-01,2018-11-02,,,,2018-12-12,Accepted,164.0,,True,False,3.9,,,,University of Michigan,19,A,green,triangle-se,green
